Nr, Lýsing, Forgangur, Uppl
1, Notandi getur skráð sig inn , A ,
2, Kerfið hefur texta viðmót , A ,
3, Yfirmaður á að geta skráð nýja-  listað og breytt upplýsingum um starfsmenn , A ,
4, Yfirmaður á að geta skráð nýja- listað og breytt upplýsingum um fasteignir , A ,
5, Yfirmaður á að geta stofnað nýja og/eða breytt verkbeiðni fyrir sínar fasteignir , A ,
6, Yfirmaður á að geta samþykkt tilbúnar verkskýrslur og þannig lokað sínum verkbeiðnum , A ,
7, Starfsmenn þurfa að geta skráð verkskýrslu á opna verkbeiðni , A ,
8, Starfsmenn þurfa að geta merkt verkbeiði sem tilbúna fyrir lokun af yfirmanni , A ,
9, Það þarf að vera hægt að lista og leita eftir starfsmönnum , A ,
10, Það á að vera hægt að lista og leita eftir fasteignum , A ,
11, Notandi getur fengið lista yfir starfsmenn , A ,
12, Notandi getur fengið lista yfir fasteignir , A ,
13, Notandi getur leitað að fasteign eftir auðkenni , A ,
14, Notandi getur leitað að verkbeiðni eftir númeri , A ,
15, Notandi getur fengið lista yfir verkbeiðnir og skýrslur , A ,
16, Notandi getur fengið allar verkbeiðnir og skýrslur fyrir ákveðna fasteign , A ,
17, Notandi getur fengið allar verkbeiðnir sem gerðar eru af ákveðnum starfsmanni , A ,
18, Þarf að vera skrá fyrir áfangastaði sem NaN flýgur á , A ,
19, Yfirmaður þarf að getað skráð nýja og breytt upplýsingum um verktaka , B ,
20, Stafsmenn geta fengið upplýsingar um verktaka , B ,
21, Þarf að vera hægt að vísa í verktaka í verkbeiðnum , B ,
22, Verkskýrslur innihalda þóknun verktaka , B ,
23, Yfirmenn geta komið fram athugasemdum um verkið þegar hann lokar beiðnum , B ,
24, Starfsmenn getað kallað í lista með viðhaldsverkefnum á þeirra staðsetningu og dagsetningu , B ,
25, Verkbeiðnir hafa endurtektar valmöguleika sem bíður upp á að hafa verkefni reglubundin , B ,
26, Verkbeiðnir hafa þriggja flokka forgangsröðun , B ,
27, Yfirmenn sjá um að setja forgang á verkefni og geta breytt honum á líftíma verkefnis  , B ,
28, Hægt að fá lista yfir allt viðhald á ákveðinni fasteign á ákveðnu tímabili  , B ,
29, Hægt að fá yfirlit yfir öll verk ákveðins verktaka á ákveðnu tímabili  , B ,
30, Hægt að fá yfirlit yfir öll verk sem ákveðin starfsmaður hefur sinnt á ákveðnu tímabili  , B ,
31, Notandi getur leitað eftir stikkorðum í skýrslum og verkbeiðnum með valkvæðu case-sensitivity, C ,
32, NOTANDI fær viðvörun áður en verktaki með slæma umsögn úr seinasta verkefni er ráðinn , C ,
33, Notandi getur fengið prentvæn yfirlit yfir útistandandi verkbeiðnir , C ,
34, Notandi getur fengið prentvænar útgáfur af gagnlegum skiltum , C ,
35, \textit{Notandi getur fengið veðurspá fyrir daginn} ,C ,
36, \textif{Notandi getur skráð sig úr kerfi án þess að slökkva á kerfi} , C ,
